year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2019,RUS,10.7097400171082,4.47036660760175,22.8322,10.975123926599,11497.6492498593,,,59.0759724941086,5.55179461638925E11,,,12.3,73.0839024390244,4.9,4.6,28.5363983565997,1635723764558
2020,RUS,18.6447154031096,3.38165937237896,39.8126283962006,,10126.7217935297,,,70.381030270803,5.96769862769564E11,,,12.1,,,5.73,25.5231826070911,1635723769584
2013,MDG,,5.82642944451989,,8.78558990790621,541.06605856927,,,21.1936816079075,7.76146662956508E8,,,,64.713,42.8,0.94,23.2721611375908,1635717189227
2014,MDG,,6.08040811088296,,8.44113208180377,530.861120641159,,,21.2864095358509,7.73817323366607E8,,,,65.133,41.7,1.33,28.2819076178619,1635717194277
2015,MDG,,7.40419174202125,,8.94530803668372,467.23555367358,,,22.5824153836376,8.32008813363757E8,32075.0,,,65.539,40.7,1.79,28.3906387132497,1635717199289
2016,MDG,,6.03575858154682,,9.24485087237803,475.955608372416,,,23.6124235356714,1.18369079201019E9,,,,65.931,39.6,1.76,29.092566284279,1635717204301
2017,MDG,,8.60905075422951,,10.027545004206,515.293309281062,,,25.5623985274873,1.60017502231326E9,,,,66.311,38.5,1.73,30.9026317216231,1635717209351
2018,MDG,,8.59422958870474,,10.3931176196262,518.401122965529,,,25.8819389189568,1.73958829028962E9,,,,66.681,37.5,1.69,29.179669199106,1635717214365
2019,MDG,,5.61051441492366,,10.4671183350727,526.224572187396,,,24.4797226407629,1.69314764847775E9,,,,67.041,36.5,1.67,26.4519416658874,1635717219377
2020,MDG,,4.20179312190553,,,495.490400891458,,,26.8603012056066,1.98076659834546E9,,,,,,1.92,23.2627338534635,1635717224432
1990,MDV,,3.64991197717471,,13.9623192639112,963.837466719254,30.7823377634974,,26.087873034419,2.43784531447838E7,8689.0,,,61.529,63.0,,85.4529964461321,1635717229445
1991,MDV,,14.7136770282736,,14.6140952989065,1064.09463044762,35.5734695506425,,26.6796631814191,2.34686086197771E7,,,,62.413,59.9,0.76,76.930086200016,1635717234457
1992,MDV,,16.8559977535548,,14.9589823640772,1205.62133550867,41.6154638148062,,24.9928592779568,2.81937545890797E7,,,,63.302,57.0,0.77,78.0265933773955,1635717239512
1993,MDV,,20.1273593149249,,13.7345373227277,1328.65604682586,45.5515611288816,,28.9492456194978,2.61498290638764E7,,,,64.185,54.0,0.79,67.1285871995924,1635717244520
1994,MDV,,3.38610098291491,,13.0045821514292,1431.65789594126,44.2117002448663,,30.7433267874027,3.12203956245447E7,,,,65.059,51.0,0.79,77.73587169976,1635717249529
1995,MDV,,5.48886133171505,,13.5963884925789,1569.93261682457,47.3520580907562,,31.16287983646,4.79519381027696E7,18510.0,,,65.923,47.9,0.79,,1635717254584
1996,MDV,,6.24124591476024,,13.4521788341822,1737.73363461568,43.0352763629504,,34.8215431050745,7.61669327152044E7,,,,66.784,44.7,0.98,,1635717259617
1997,MDV,,7.57283467072598,,14.4455044389877,1926.28603518447,39.670387725631,,38.0544839424201,9.83051322373818E7,,,,67.644,41.4,1.2,,1635717264629
1998,MDV,,-1.40425233816797,,14.2002404743947,2011.94433727978,40.9867359654762,,44.0441844407208,1.18535050808558E8,,,,68.501,38.2,1.43,,1635717269687
1999,MDV,,2.95370836069138,,14.0915704652276,2154.26822563039,40.126298421858,,41.794995290722,1.27116487326909E8,,,,69.348,34.9,1.7,,1635717274733
2000,MDV,,-1.1747568117595,,13.796110041301,2234.59586137462,40.8644099852265,,41.0911245179629,1.22801161555359E8,27092.0,,,70.173,31.6,1.97,,1635717279745
2001,MDV,,0.672577370062483,,9.82630738897756,3039.30277623858,31.2308703408131,,30.5538561368886,9.53415397229646E7,,,,70.964,28.4,2.66,,1635717284796
2002,MDV,,4.1786723990478,,9.50792544852813,3049.20798137227,33.5908378331301,41.3,34.4601861816757,1.35638964305387E8,,34.8,,71.708,25.4,3.48,,1635717289808
2003,MDV,,-1.26065113450349,,9.42070183448992,3476.00627289952,30.3523770936084,,34.4278834157889,1.62249406494619E8,,,,72.399,22.7,4.39,,1635717294820
2004,MDV,,-1.68541212459462,,10.4894358542978,3941.43113584887,27.2730426643921,,38.7865414573683,2.06512419647146E8,,,,73.034,20.9,5.36,,1635717299872
2005,MDV,,1.30027500930999,,11.5693738822473,3640.0121322011,33.9271150397616,,45.2433849297208,1.89032878759004E8,45045.0,,,73.612,18.2,6.38,,1635717304885
2006,MDV,,2.73842131602098,,11.7564407107925,4809.93374014089,29.5408843071306,,39.7204023396458,2.34391281656725E8,,,,74.138,16.4,7.39,,1635717309898
2007,MDV,,6.79477353930163,,12.1474495062228,5574.40198148264,29.1842777540108,,41.5584009621151,3.11434223999269E8,,,,74.621,15.0,8.47,,1635717314955
2008,MDV,,12.0414583505108,,11.5788828140298,6614.23617985838,30.3431523048305,,41.6488727183431,2.43588884459026E8,,,,75.073,13.8,9.71,,1635717319963
2009,MDV,,4.53017659132794,,9.1006679916955,6636.54387067016,46.1935516743923,38.4,46.1538291596222,2.75592740857577E8,,29.9,,75.499,12.8,11.7,,1635717324975
2010,MDV,,6.14988536750176,,,7076.73982087196,54.8854181471638,,47.9463196785526,3.64318809301568E8,73604.0,,,75.905,11.9,10.28,,1635717330027
2011,MDV,,11.2734146055937,,,7291.46596660877,57.2981206101706,,47.0543787205311,3.48650244811204E8,,,,76.293,11.2,8.86,,1635717335039
2012,MDV,,10.8846956585631,,,7265.72339947372,,,45.1041063121999,3.18266639460594E8,,,,76.664,10.5,7.57,,1635717340049
2013,MDV,,3.80563000919428,,,7928.47644265061,,,46.7610399769232,3.81885325263222E8,,,,77.018,9.9,6.37,,1635717345099
2014,MDV,,2.12000175718133,,,8499.30714783649,,,47.8259394605774,6.27407042492066E8,,,,77.36,9.3,5.21,91.2941274036136,1635717350111
2015,MDV,,0.953206658777659,,,9033.45972427115,,,48.2872096593979,5.7573963666311E8,94086.0,,,77.691,8.7,5.67,78.3552662834339,1635717355124
2016,MDV,,0.502509413611577,,,9209.39966526025,,31.3,45.224788423581,4.78090987235291E8,,25.2,8.2,78.013,8.1,6.12,71.9791976225854,1635717360178
2017,MDV,,2.81747338234507,,,9577.70237570034,,,43.7506383964631,5.98201001746116E8,,,,78.325,7.6,6.0,72.3037956762918,1635717365190
2018,MDV,,-0.133373386117525,,,10276.7733887971,,,40.5654524429959,7.22208557264898E8,,,,78.627,7.0,5.9,70.1294335714072,1635717370199
2019,MDV,,0.220029731065343,,,10626.4333466909,,,41.7585567825391,7.62911627717928E8,,,,78.921,6.5,5.82,69.0233672857999,1635717375255
2020,MDV,,-1.3697742556981,,,7455.85572772295,,,66.6525307333831,9.94584647586585E8,,,,,,7.18,,1635717380264
1990,MEX,7.09563857494328,26.6516725646771,45.1586114494519,11.8483646611837,3112.26859475697,46.6268573934833,,22.5134170767379,1.02168451936425E10,695674.0,,,70.866,36.2,,18.7044710491717,1635717385286
1991,MEX,10.1067318770611,22.662359455061,30.7984624367458,11.5944926057709,3661.94796500841,38.2182364854974,,26.114745760132,1.80520669816101E10,,,,71.248,34.7,3.15,16.4333900336044,1635717390347
1992,MEX,12.1587487673996,15.5078962533572,31.8251023467681,11.6024353429574,4170.62338257237,28.1470540238128,52.6,27.1384560739971,1.91713574343236E10,,42.2,,71.61,33.3,3.24,15.256744442975,1635717395367
1993,MEX,12.5007033244806,9.75146045357564,31.1629478549897,9.07061143521901,5650.02628596643,20.3751277473288,,22.8554281464935,2.52987036982609E10,,,,71.953,31.9,3.37,12.2812976454281,1635717400389
1994,MEX,10.8311720643738,6.96581237191123,43.8926537774524,8.49192167477219,5854.41811722684,28.1564317988895,52.8,24.0406197640508,6.44139053610355E9,,42.3,,72.279,30.6,4.44,13.3828583816104,1635717405442
1995,MEX,9.49577270727609,34.9992712889592,37.7001952500475,8.47962461733246,3928.22371141004,32.4583813750253,,24.43011680643,1.70455586329877E10,458549.0,,,72.598,29.3,7.1,24.1491933924023,1635717410455
2001,MEX,7.01574969821472,6.36773806235032,42.0476011176446,,7544.56872335784,,,25.1923639853561,4.4804667773015E10,,,,74.658,22.7,2.63,22.6667211742494,1635717440617
2002,MEX,3.29443981994727,5.03072733151299,24.4720979130979,,7593.1373448964,,50.1,25.0992689903088,5.06714521449585E10,,39.6,,74.922,21.8,3.0,22.5524898738313,1635717445675
2003,MEX,3.16483621852374,4.54690012118717,18.8376254029936,,7075.36964299974,,,26.0026114398671,5.90267003114513E10,,,,75.118,20.9,3.46,24.3604406878698,1635717450689
1996,MEX,10.4928128317342,34.3783832235167,40.3884182947231,8.74298165622915,4412.11629751815,25.166017817526,53.6,22.9645671961414,1.95269130358727E10,,42.1,,72.925,28.1,5.47,26.0050149675925,1635717415510
1997,MEX,10.3324634018144,20.6256287259248,33.0183190383908,8.9877306757099,5289.16765276589,20.6491358972825,,28.3899684062002,2.88524773611884E10,,,,73.268,26.9,4.24,24.3329303395345,1635717420522
1998,MEX,5.31055022189873,15.9283950119352,30.4756839005164,8.15561188297102,5481.18195394699,22.2436286767288,51.7,27.468158621286,3.18631819796295E10,,40.4,,73.625,25.8,3.73,24.5944327690014,1635717425535
1999,MEX,5.81952463961543,16.5856169707539,22.6758115934239,8.60813618545405,6157.19304371027,20.485055142091,,27.3410983756772,3.18284013252095E10,,,,73.988,24.7,2.6,24.6326500515211,1635717430593
2000,MEX,6.31443623649311,9.49156149435404,35.7020388274065,9.57286143756433,7157.81449985734,19.0694868180981,52.6,22.3875816674352,3.55772790536649E10,538051.0,42.0,,74.34,23.6,2.65,25.4067169365962,1635717435606
2004,MEX,5.65444952458013,4.68840884843147,25.8056513812938,,7484.486398707,,50.0,26.1999950559667,6.42016998628694E10,,39.6,,75.243,20.1,3.94,25.8403039526232,1635717455701
2005,MEX,6.20949704074926,3.98805714597435,22.7856509454457,,8277.67156384567,,50.1,26.5993925089748,7.41097033460659E10,712487.0,39.6,,75.3,19.4,3.56,26.2325503809951,1635717460763
2006,MEX,8.3906017763439,3.62946762439129,23.4941852064933,,9068.29421839425,,48.9,25.5277496537982,7.63293672042543E10,,38.9,,75.296,18.7,3.57,27.3251618939288,1635717465775
2007,MEX,11.2017570485502,3.96684905458234,29.6487740865137,,9642.68051672231,,,25.9841322367212,8.72081759233125E10,,,,75.255,18.1,3.63,27.527235888679,1635717470785
